,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Cleveland Cavaliers,117,2016-10-25 23:30:00,New York Knicks,88
1,Golden State Warriors,100,2016-10-26 02:30:00,San Antonio Spurs,129
2,Portland Trail Blazers,113,2016-10-26 02:00:00,Utah Jazz,104
3,Boston Celtics,122,2016-10-26 23:30:00,Brooklyn Nets,117
4,Indiana Pacers,130,2016-10-26 23:00:00,Dallas Mavericks,121
5,Los Angeles Lakers,120,2016-10-27 02:30:00,Houston Rockets,114
6,Memphis Grizzlies,102,2016-10-27 00:00:00,Minnesota Timberwolves,98
7,Milwaukee Bucks,96,2016-10-27 00:00:00,Charlotte Hornets,107
8,New Orleans Pelicans,102,2016-10-27 00:00:00,Denver Nuggets,107
9,Orlando Magic,96,2016-10-26 23:00:00,Miami Heat,108
10,Philadelphia 76ers,97,2016-10-27 00:00:00,Oklahoma City Thunder,103
11,Phoenix Suns,94,2016-10-27 02:00:00,Sacramento Kings,113
12,Toronto Raptors,109,2016-10-26 23:30:00,Detroit Pistons,91
13,Atlanta Hawks,114,2016-10-27 23:30:00,Washington Wizards,99
14,Chicago Bulls,105,2016-10-28 00:00:00,Boston Celtics,99
15,Portland Trail Blazers,106,2016-10-28 02:30:00,Los Angeles Clippers,114
16,Sacramento Kings,94,2016-10-28 02:30:00,San Antonio Spurs,102
17,Brooklyn Nets,103,2016-10-28 23:30:00,Indiana Pacers,94
18,Dallas Mavericks,98,2016-10-29 00:30:00,Houston Rockets,106
19,Detroit Pistons,108,2016-10-28 23:30:00,Orlando Magic,82
20,Miami Heat,91,2016-10-29 00:00:00,Charlotte Hornets,97
21,New Orleans Pelicans,114,2016-10-29 01:30:00,Golden State Warriors,122
22,Oklahoma City Thunder,113,2016-10-29 00:00:00,Phoenix Suns,110
23,Toronto Raptors,91,2016-10-28 23:00:00,Cleveland Cavaliers,94
24,Utah Jazz,96,2016-10-29 01:00:00,Los Angeles Lakers,89
25,Chicago Bulls,118,2016-10-30 00:00:00,Indiana Pacers,101
26,Charlotte Hornets,98,2016-10-29 23:00:00,Boston Celtics,104
