,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Cleveland Cavaliers,102,2017-10-18 00:01:00,Boston Celtics,99
1,Golden State Warriors,121,2017-10-18 02:30:00,Houston Rockets,122
2,Boston Celtics,100,2017-10-18 23:30:00,Milwaukee Bucks,108
3,Dallas Mavericks,111,2017-10-19 00:30:00,Atlanta Hawks,117
4,Detroit Pistons,102,2017-10-18 23:00:00,Charlotte Hornets,90
5,Indiana Pacers,140,2017-10-18 23:00:00,Brooklyn Nets,131
6,Memphis Grizzlies,103,2017-10-19 00:00:00,New Orleans Pelicans,91
7,Orlando Magic,116,2017-10-18 23:00:00,Miami Heat,109
8,Phoenix Suns,76,2017-10-19 02:00:00,Portland Trail Blazers,124
9,Sacramento Kings,100,2017-10-19 02:00:00,Houston Rockets,105
10,San Antonio Spurs,107,2017-10-19 01:30:00,Minnesota Timberwolves,99
11,Utah Jazz,106,2017-10-19 01:00:00,Denver Nuggets,96
12,Washington Wizards,120,2017-10-18 23:00:00,Philadelphia 76ers,115
13,Los Angeles Lakers,92,2017-10-20 02:30:00,Los Angeles Clippers,108
14,Oklahoma City Thunder,105,2017-10-20 00:00:00,New York Knicks,84
15,Toronto Raptors,117,2017-10-19 23:30:00,Chicago Bulls,100
16,Brooklyn Nets,126,2017-10-20 23:30:00,Orlando Magic,121
17,Charlotte Hornets,109,2017-10-20 23:00:00,Atlanta Hawks,91
18,Dallas Mavericks,88,2017-10-21 00:30:00,Sacramento Kings,93
19,Indiana Pacers,96,2017-10-20 23:00:00,Portland Trail Blazers,114
20,Milwaukee Bucks,97,2017-10-20 23:00:00,Cleveland Cavaliers,116
21,Minnesota Timberwolves,100,2017-10-21 00:00:00,Utah Jazz,97
22,New Orleans Pelicans,120,2017-10-21 01:30:00,Golden State Warriors,128
23,Philadelphia 76ers,92,2017-10-20 23:00:00,Boston Celtics,102
24,Phoenix Suns,130,2017-10-21 02:00:00,Los Angeles Lakers,132
25,Washington Wizards,115,2017-10-20 23:00:00,Detroit Pistons,111
26,Chicago Bulls,77,2017-10-22 00:00:00,San Antonio Spurs,87
27,Cleveland Cavaliers,93,2017-10-22 00:00:00,Orlando Magic,114
28,Denver Nuggets,96,2017-10-22 01:00:00,Sacramento Kings,79
29,Houston Rockets,107,2017-10-22 00:00:00,Dallas Mavericks,91
30,Los Angeles Clippers,130,2017-10-22 02:30:00,Phoenix Suns,88
31,Memphis Grizzlies,111,2017-10-22 00:00:00,Golden State Warriors,101
32,Miami Heat,112,2017-10-22 00:00:00,Indiana Pacers,108
33,Milwaukee Bucks,113,2017-10-22 00:30:00,Portland Trail Blazers,110
34,New York Knicks,107,2017-10-22 00:00:00,Detroit Pistons,111
35,Toronto Raptors,128,2017-10-21 23:30:00,Philadelphia 76ers,94
36,Utah Jazz,96,2017-10-22 01:00:00,Oklahoma City Thunder,87
37,Brooklyn Nets,116,2017-10-22 19:30:00,Atlanta Hawks,104
38,Los Angeles Lakers,112,2017-10-23 01:30:00,New Orleans Pelicans,119
39,Oklahoma City Thunder,113,2017-10-22 23:00:00,Minnesota Timberwolves,115
40,Dallas Mavericks,103,2017-10-24 00:30:00,Golden State Warriors,133
41,Denver Nuggets,104,2017-10-24 01:00:00,Washington Wizards,109
42,Detroit Pistons,86,2017-10-23 23:00:00,Philadelphia 76ers,97
43,Houston Rockets,90,2017-10-24 00:00:00,Memphis Grizzlies,98
44,Miami Heat,104,2017-10-23 23:30:00,Atlanta Hawks,93
45,Milwaukee Bucks,103,2017-10-24 00:00:00,Charlotte Hornets,94
46,Phoenix Suns,117,2017-10-24 02:00:00,Sacramento Kings,115
47,San Antonio Spurs,101,2017-10-24 00:30:00,Toronto Raptors,97
48,Boston Celtics,110,2017-10-24 23:30:00,New York Knicks,89
49,Cleveland Cavaliers,119,2017-10-24 23:00:00,Chicago Bulls,112
50,Los Angeles Clippers,102,2017-10-25 02:30:00,Utah Jazz,84
51,Minnesota Timberwolves,107,2017-10-25 00:00:00,Indiana Pacers,130
52,Orlando Magic,125,2017-10-24 23:00:00,Brooklyn Nets,121
53,Portland Trail Blazers,103,2017-10-25 02:00:00,New Orleans Pelicans,93
54,Brooklyn Nets,112,2017-10-25 23:30:00,Cleveland Cavaliers,107
55,Charlotte Hornets,110,2017-10-25 23:00:00,Denver Nuggets,93
56,Dallas Mavericks,103,2017-10-26 00:30:00,Memphis Grizzlies,94
57,Detroit Pistons,122,2017-10-25 23:00:00,Minnesota Timberwolves,101
58,Golden State Warriors,117,2017-10-26 02:30:00,Toronto Raptors,112
