,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,3,0,2017-10-18,12,22,13,Giannis,13,11,False,Antetokounmpo,1,BOS,4,37,2216.0,3,MIL,1,0,13,5
1,1,1,2017-10-18,17,17,11,Hassan,3,3,False,Whiteside,5,ORL,1,26,2174.0,0,MIA,1,1,22,1
2,1,1,2017-10-18,12,12,10,Clint,2,2,False,Capela,5,SAC,2,22,1700.0,3,HOU,0,0,17,2
3,5,3,2017-10-18,2,20,10,Damian,3,3,False,Lillard,3,PHO,1,27,1779.0,1,POR,6,4,5,0
4,11,0,2017-10-18,2,12,9,Darren,3,2,True,Collison,1,BRK,1,21,1811.0,2,IND,3,1,3,2
5,3,0,2017-10-18,5,15,9,Mike,7,5,True,Conley,0,NOP,3,27,1961.0,2,MEM,9,4,5,1
6,9,0,2017-10-18,1,21,8,James,8,7,False,Harden,2,SAC,1,27,2266.0,2,HOU,14,4,3,2
7,3,0,2017-10-18,8,18,11,Tobias,1,1,True,Harris,2,CHO,3,27,2043.0,0,DET,7,4,10,1
8,2,4,2017-10-18,11,13,8,Myles,4,4,True,Turner,3,BRK,3,21,2037.0,0,IND,3,1,14,1
9,5,0,2017-10-18,2,22,12,D'Angelo,2,2,False,Russell,1,IND,4,30,1828.0,1,BRK,8,4,3,2
10,1,2,2017-10-18,5,15,9,Robert,4,4,False,Covington,2,WAS,4,29,1748.0,1,PHI,11,7,7,5
11,0,1,2017-10-18,11,23,9,Anthony,17,14,False,Davis,7,MEM,5,33,2414.0,0,NOP,2,1,18,5
12,2,7,2017-10-18,8,21,9,DeMarcus,8,7,False,Cousins,2,MEM,4,28,2304.0,0,NOP,9,3,10,4
13,0,3,2017-10-18,9,6,6,Nerlens,4,4,True,Noel,2,ATL,2,16,1174.0,1,DAL,0,0,11,0
14,4,1,2017-10-18,4,17,6,Bradley,16,12,True,Beal,2,PHI,2,25,2137.0,3,WAS,4,1,6,2
15,1,3,2017-10-18,6,15,10,Willie,2,1,True,Cauley-Stein,4,HOU,1,21,1898.0,0,SAC,0,0,10,1
16,7,0,2017-10-18,2,26,13,Dennis,2,1,False,Schroder,0,DAL,1,28,2057.0,2,ATL,3,1,2,2
17,1,2,2017-10-18,10,12,6,Nikola,8,7,True,Vucevic,2,MIA,1,19,1897.0,2,ORL,3,0,12,1
18,1,0,2017-10-18,4,14,9,Andrew,9,4,False,Wiggins,1,SAS,0,26,1825.0,0,MIN,6,4,5,1
19,4,2,2017-10-18,5,21,9,LaMarcus,7,6,True,Aldridge,5,MIN,2,25,2329.0,0,SAS,2,1,10,3
20,4,0,2017-10-18,5,12,6,Victor,10,8,True,Oladipo,0,BRK,5,22,1473.0,4,IND,6,2,5,3
21,8,2,2017-10-18,3,28,10,John,9,8,True,Wall,2,PHI,2,28,2229.0,0,WAS,3,0,5,2
22,5,1,2017-10-18,7,14,7,Ben,6,4,False,Simmons,3,WAS,3,18,2080.0,2,PHI,0,0,10,1
23,2,2,2017-10-18,3,13,7,Dillon,7,5,True,Brooks,2,NOP,2,19,1765.0,4,MEM,2,0,5,2
24,3,0,2017-10-18,3,14,7,Marco,2,2,False,Belinelli,0,DAL,0,20,1542.0,3,ATL,6,4,3,1
25,0,0,2017-10-18,4,10,7,Trevor,7,6,False,Booker,6,IND,2,20,1674.0,0,BRK,1,0,10,2
26,2,0,2017-10-18,2,14,9,Pat,2,2,False,Connaughton,0,PHO,2,24,1924.0,0,POR,7,4,2,1
27,2,1,2017-10-18,5,14,8,Will,4,4,False,Barton,1,UTA,2,23,1880.0,1,DEN,4,3,6,3
28,1,3,2017-10-18,12,12,7,Marcin,3,2,True,Gortat,5,PHI,3,16,2066.0,0,WAS,0,0,17,1
29,3,0,2017-10-18,1,17,9,Evan,2,2,True,Fournier,0,MIA,0,23,2065.0,1,ORL,5,3,1,1
