,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
51,31,162,114,371,279,175,Andrew,50,24,70,66,Bogut,1451,121,221,375,C,33,GSW,1,1,83,278,174
52,35,9,1,24,57,29,Matt,4,3,30,2,Bonner,206,3,16,76,C,6,SAS,34,15,3,23,14
53,19,200,20,160,867,367,Devin,256,215,76,51,Booker,2108,27,225,1048,SG,44,PHO,289,99,160,578,268
54,28,84,41,286,388,190,Trevor,106,71,79,2,Booker,1632,166,169,463,PF,59,UTA,41,12,81,347,178
55,31,128,34,342,767,358,Chris,268,213,53,53,Bosh,1778,48,101,1010,PF,36,MIA,222,81,78,545,277
56,25,158,19,172,1019,456,Avery,123,96,76,72,Bradley,2536,48,164,1155,SG,117,BOS,407,147,109,612,309
57,36,18,8,54,72,31,Elton,9,8,17,1,Brand,225,9,32,70,C,9,PHI,1,0,11,71,31
58,29,109,19,157,552,212,Corey,140,105,82,12,Brewer,1669,42,168,590,SF,84,HOU,224,61,78,328,151
59,31,180,10,80,469,188,Aaron,64,49,69,0,Brooks,1108,21,132,491,PG,30,CHI,185,66,82,284,122
60,23,19,5,61,126,39,Anthony,20,17,29,11,Brown,599,9,34,115,SF,14,LAL,70,20,15,56,19
61,25,11,1,7,25,8,Lorenzo,4,3,8,0,Brown,61,0,4,20,PG,3,PHO,8,1,9,17,7
62,24,91,15,99,322,127,Markel,94,71,62,6,Brown,982,23,94,363,SG,38,BRK,121,38,54,201,89
63,37,184,13,206,1113,398,Kobe,281,232,66,66,Bryant,1863,41,115,1161,SF,62,LAL,467,133,129,646,265
64,24,27,2,54,98,43,Reggie,15,14,37,0,Bullock,429,14,29,122,SF,10,DET,53,22,8,45,21
65,23,148,6,94,634,262,Trey,82,67,64,0,Burke,1366,18,86,679,PG,35,UTA,256,88,80,378,174
66,24,63,4,93,334,137,Alec,141,106,31,3,Burks,797,16,71,412,SG,18,UTA,79,32,51,255,105
67,35,10,1,17,59,25,Caron,12,10,17,1,Butler,176,5,19,63,SF,9,SAC,18,3,3,41,22
68,26,321,43,279,1035,470,Jimmy,475,395,67,67,Butler,2474,79,124,1399,SG,110,CHI,205,64,132,830,406
69,36,24,23,53,104,49,Rasual,16,11,46,0,Butler,432,3,11,124,SF,13,SAS,49,15,8,55,34
70,20,1,1,1,12,1,Bruno,0,0,6,1,Caboclo,43,1,2,3,SF,2,TOR,7,1,4,5,0
71,34,298,7,207,455,209,Jose,48,42,72,72,Calderon,2024,22,135,544,PG,63,NYK,203,84,87,252,125
72,22,138,17,212,960,403,Kentavious,228,185,76,76,Caldwell-Pope,2789,70,167,1105,SG,110,DET,369,114,105,591,289
73,24,137,12,154,722,260,Isaiah,180,150,77,39,Canaan,1966,20,133,846,SG,56,PHI,485,176,91,237,84
74,21,47,92,300,397,231,Clint,211,80,77,35,Capela,1471,194,190,542,C,59,HOU,1,0,60,396,231
75,29,27,6,91,270,105,DeMarre,50,30,26,22,Carroll,786,31,63,286,SF,44,TOR,118,46,28,152,59
76,39,56,16,115,343,133,Vince,84,70,60,3,Carter,1005,31,101,395,SG,38,MEM,169,59,35,174,74
77,24,281,41,228,555,251,Michael,162,106,54,37,Carter-Williams,1649,48,162,623,PG,80,MIL,55,15,153,500,236
78,27,95,17,352,622,299,Omri,159,103,69,21,Casspi,1880,58,154,813,PF,56,SAC,274,112,94,348,187
79,22,37,66,218,339,191,Willie,125,81,66,39,Cauley-Stein,1412,134,146,463,C,48,SAC,2,0,46,337,191
80,33,64,44,401,314,183,Tyson,171,106,66,60,Chandler,1618,175,145,472,C,36,PHO,1,0,93,313,183
81,24,0,0,0,2,2,Rakeem,0,0,1,0,Christmas,6,1,1,4,PF,0,IND,0,0,0,2,2
82,24,64,13,55,202,89,Ian,34,28,66,1,Clark,578,13,58,236,SG,17,GSW,84,30,43,118,59
83,23,0,0,1,4,2,Coty,0,0,3,0,Clarke,6,0,0,6,SF,0,BOS,2,2,1,2,0
84,23,192,7,220,1098,475,Jordan,204,164,79,79,Clarkson,2552,93,168,1225,SG,88,LAL,320,111,135,778,364
85,27,167,5,141,484,196,Norris,65,52,45,23,Cole,1198,10,102,477,PG,37,NOP,102,33,75,382,163
86,28,318,4,141,776,377,Darren,226,194,74,15,Collison,2219,28,142,1035,PG,76,SAC,217,87,130,559,290
87,35,52,16,103,109,50,Nick,33,23,59,4,Collison,699,68,107,123,PF,15,OKC,2,0,50,107,50
88,28,342,16,138,696,294,Mike,229,191,56,56,Conley,1761,26,100,857,PG,67,MEM,215,78,84,481,216
89,23,10,0,21,49,13,Pat,5,5,34,0,Connaughton,143,11,6,36,SG,2,POR,21,5,10,28,8
90,31,11,0,9,51,17,Chris,7,6,24,1,Copeland,156,1,17,50,PF,2,MIL,36,10,6,15,7
91,25,214,92,589,1332,601,DeMarcus,663,476,65,65,Cousins,2246,158,236,1748,C,101,SAC,210,70,249,1122,531
92,25,97,40,354,712,274,Robert,177,140,67,49,Covington,1903,65,232,858,SF,105,PHI,482,170,143,230,104
93,23,99,16,189,678,311,Allen,113,98,81,8,Crabbe,2105,27,192,832,SG,63,POR,285,112,64,393,199
94,35,183,12,125,939,379,Jamal,271,245,79,5,Crawford,2126,20,122,1120,SG,52,LAC,344,117,113,595,262
95,25,135,35,303,813,360,Jae,239,196,73,73,Crowder,2308,70,198,1038,SF,126,BOS,363,122,83,450,238
96,28,77,33,179,412,186,Dante,82,57,80,46,Cunningham,1971,57,173,484,SF,42,NOP,174,55,41,238,131
97,25,67,3,51,224,102,Seth,54,45,44,9,Curry,692,9,41,299,PG,22,SAC,111,50,36,113,52
98,27,527,15,362,1598,805,Stephen,400,363,79,79,Curry,2700,68,161,2375,PG,169,GSW,886,402,262,712,403
99,24,21,3,50,187,89,Troy,9,5,43,0,Daniels,476,7,40,242,SG,11,CHO,122,59,24,65,30
100,22,116,125,497,1136,560,Anthony,430,326,61,61,Davis,2164,130,148,1481,C,78,NOP,108,35,121,1028,525
101,26,88,72,375,337,206,Ed,204,114,81,0,Davis,1684,224,202,526,PF,57,POR,0,0,64,337,206
102,22,0,1,2,5,2,Branden,1,1,6,0,Dawson,29,2,2,5,PF,0,LAC,0,0,0,5,2
103,26,13,46,161,177,99,Dewayne,76,57,58,20,Dedmon,705,67,109,255,C,22,ORL,0,0,32,177,99
104,23,15,2,40,69,28,Bryce,21,11,14,11,Dejean-Jones,279,8,17,79,SG,10,NOP,32,12,11,37,16
105,21,0,0,1,0,0,Sam,0,0,3,0,Dekker,6,0,0,0,PF,1,HOU,0,0,0,0,0
106,25,337,9,129,511,207,Matthew,66,57,76,14,Dellavedova,1867,33,178,569,PG,44,CLE,239,98,116,272,109
107,30,140,29,335,745,339,Luol,192,145,74,73,Deng,2394,108,122,911,PF,74,MIA,256,88,81,489,251
108,26,315,21,285,1377,614,DeMar,653,555,78,78,DeRozan,2804,64,167,1830,SG,81,TOR,139,47,175,1238,567
109,33,176,21,175,383,202,Boris,76,56,76,4,Diaw,1386,58,102,485,PF,26,SAS,69,25,97,314,177
110,26,143,96,428,579,308,Gorgui,248,205,82,39,Dieng,2220,157,219,827,C,94,MIN,20,6,140,559,302
111,22,22,0,13,54,19,Spencer,33,19,12,0,Dinwiddie,159,4,20,58,PG,3,DET,10,1,7,44,18
112,29,157,5,118,445,183,Toney,99,84,61,18,Douglas,1262,25,131,531,PG,70,NOP,203,81,64,242,102
113,29,419,17,223,875,417,Goran,165,120,72,72,Dragic,2363,54,188,1018,PG,71,MIA,205,64,185,670,353
114,22,67,112,803,1060,552,Andre,586,208,81,81,Drummond,2666,395,245,1314,C,119,DET,6,2,155,1054,550
115,30,170,18,232,487,233,Jared,98,72,81,41,Dudley,2098,54,190,638,PF,75,WAS,238,100,80,249,133
116,24,1,0,2,10,2,Duje,0,0,1,0,Dukan,24,2,2,6,SF,1,SAC,5,2,0,5,0
117,39,163,78,332,441,215,Tim,131,92,61,60,Duncan,1536,115,125,522,C,47,SAS,2,0,90,439,215
118,35,39,10,75,188,77,Mike,37,29,31,30,Dunleavy,703,8,66,222,SF,14,CHI,99,39,26,89,38
119,27,361,85,544,1381,698,Kevin,498,447,72,72,Durant,2578,45,137,2029,SF,69,OKC,481,186,250,900,512
120,24,6,3,22,40,12,Cleanthony,4,3,17,2,Early,154,4,16,31,SF,2,NYK,15,4,9,25,8
121,24,5,1,21,65,20,Jarell,8,8,26,0,Eddie,147,2,5,63,SF,5,WAS,47,15,1,18,5
122,28,83,5,154,561,218,Wayne,63,54,76,41,Ellington,1615,20,82,586,SG,48,BRK,268,96,45,293,122
123,30,383,37,229,1021,436,Monta,206,162,81,81,Ellis,2734,42,174,1121,SG,150,IND,282,87,203,739,349
124,21,95,1,62,187,84,Tyler,34,25,46,7,Ennis,654,13,64,206,PG,25,MIL,39,13,46,148,71
125,28,2,9,43,48,26,Jeremy,21,15,30,2,Evans,251,11,19,71,SF,6,DAL,16,4,7,32,22
126,26,164,8,109,314,136,Tyreke,93,74,25,25,Evans,765,20,66,379,SG,32,NOP,85,33,73,229,103
127,26,32,50,166,228,125,Festus,132,70,46,13,Ezeli,770,91,94,320,C,18,GSW,0,0,38,228,125
128,26,79,60,346,626,349,Kenneth,222,136,67,64,Faried,1694,235,169,835,PF,32,DEN,2,1,91,624,348
129,29,37,2,21,100,42,Jordan,10,10,12,10,Farmar,291,4,22,110,PG,15,MEM,45,16,18,55,26
130,24,94,91,334,811,418,Derrick,254,180,62,59,Favors,1983,169,150,1016,PF,74,UTA,4,0,104,807,418
131,23,26,13,72,72,40,Cristiano,35,25,31,4,Felicio,321,30,31,105,C,6,CHI,4,0,13,68,40
132,31,284,15,222,682,277,Raymond,176,149,80,31,Felton,2192,36,141,763,PG,68,DAL,213,60,121,469,217
133,23,213,2,192,929,429,Evan,238,199,79,71,Fournier,2566,33,214,1213,SF,96,ORL,390,156,133,539,273
134,27,135,19,229,700,287,Danilo,432,375,53,53,Gallinari,1839,52,87,1036,SF,42,DEN,239,87,77,461,200
135,24,207,22,245,588,231,Langston,114,86,82,7,Galloway,2033,43,177,625,PG,77,NYK,224,77,61,364,154
136,39,62,10,135,115,54,Kevin,21,14,38,38,Garnett,556,15,70,122,PF,28,MIN,1,0,16,114,54
137,31,196,70,304,707,328,Marc,245,203,52,52,Gasol,1791,58,141,861,C,50,MEM,3,2,118,704,326
