,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Cleveland Cavaliers,94,2012-10-30 23:00:00,Washington Wizards,84
1,Los Angeles Lakers,91,2012-10-30 23:30:00,Dallas Mavericks,99
2,Miami Heat,120,2012-10-31 00:00:00,Boston Celtics,107
3,Chicago Bulls,93,2012-10-31 23:00:00,Sacramento Kings,87
4,Detroit Pistons,96,2012-10-31 23:30:00,Houston Rockets,105
5,Los Angeles Clippers,101,2012-10-31 23:30:00,Memphis Grizzlies,92
6,New Orleans Hornets,95,2012-10-31 23:00:00,San Antonio Spurs,99
7,Philadelphia 76ers,84,2012-10-31 23:00:00,Denver Nuggets,75
8,Phoenix Suns,85,2012-10-31 23:00:00,Golden State Warriors,87
9,Portland Trail Blazers,116,2012-10-31 23:30:00,Los Angeles Lakers,106
10,Toronto Raptors,88,2012-10-31 23:00:00,Indiana Pacers,90
11,Utah Jazz,113,2012-10-31 23:00:00,Dallas Mavericks,94
12,San Antonio Spurs,86,2012-11-02 00:30:00,Oklahoma City Thunder,84
13,Atlanta Hawks,102,2012-11-02 23:30:00,Houston Rockets,109
14,Boston Celtics,88,2012-11-02 23:30:00,Milwaukee Bucks,99
15,Charlotte Bobcats,90,2012-11-02 23:00:00,Indiana Pacers,89
16,Cleveland Cavaliers,86,2012-11-02 23:30:00,Chicago Bulls,115
17,Golden State Warriors,94,2012-11-02 23:30:00,Memphis Grizzlies,104
18,Los Angeles Lakers,95,2012-11-02 23:30:00,Los Angeles Clippers,105
19,Minnesota Timberwolves,92,2012-11-02 23:00:00,Sacramento Kings,80
20,New Orleans Hornets,88,2012-11-02 23:00:00,Utah Jazz,86
21,New York Knicks,104,2012-11-03 00:00:00,Miami Heat,84
22,Oklahoma City Thunder,106,2012-11-02 23:00:00,Portland Trail Blazers,92
23,Orlando Magic,102,2012-11-02 23:00:00,Denver Nuggets,89
24,Phoenix Suns,92,2012-11-02 23:00:00,Detroit Pistons,89
25,Brooklyn Nets,107,2012-11-03 23:30:00,Toronto Raptors,100
26,Chicago Bulls,82,2012-11-03 23:00:00,New Orleans Hornets,89
27,Dallas Mavericks,126,2012-11-03 23:30:00,Charlotte Bobcats,99
28,Houston Rockets,85,2012-11-03 23:00:00,Portland Trail Blazers,95
29,Indiana Pacers,106,2012-11-03 23:00:00,Sacramento Kings,98
30,Los Angeles Clippers,110,2012-11-03 23:30:00,Golden State Warriors,114
31,Miami Heat,119,2012-11-03 23:30:00,Denver Nuggets,116
32,Milwaukee Bucks,105,2012-11-03 23:30:00,Cleveland Cavaliers,102
33,San Antonio Spurs,110,2012-11-03 23:30:00,Utah Jazz,100
34,Washington Wizards,86,2012-11-03 23:00:00,Boston Celtics,89
35,Los Angeles Lakers,108,2012-11-04 23:30:00,Detroit Pistons,79
36,New York Knicks,100,2012-11-04 17:00:00,Philadelphia 76ers,84
37,Oklahoma City Thunder,95,2012-11-04 23:00:00,Atlanta Hawks,104
38,Orlando Magic,115,2012-11-04 23:00:00,Phoenix Suns,94
39,Toronto Raptors,105,2012-11-04 23:00:00,Minnesota Timberwolves,86
40,Brooklyn Nets,96,2012-11-06 00:30:00,Minnesota Timberwolves,107
41,Dallas Mavericks,114,2012-11-06 00:30:00,Portland Trail Blazers,91
42,Los Angeles Clippers,101,2012-11-06 00:30:00,Cleveland Cavaliers,108
43,Memphis Grizzlies,103,2012-11-06 00:00:00,Utah Jazz,94
44,Miami Heat,124,2012-11-06 00:30:00,Phoenix Suns,99
45,Philadelphia 76ers,88,2012-11-06 00:00:00,New York Knicks,110
46,Sacramento Kings,94,2012-11-06 00:00:00,Golden State Warriors,92
47,San Antonio Spurs,101,2012-11-06 00:30:00,Indiana Pacers,79
48,Chicago Bulls,99,2012-11-07 00:00:00,Orlando Magic,93
49,Denver Nuggets,109,2012-11-07 00:00:00,Detroit Pistons,97
50,Oklahoma City Thunder,108,2012-11-07 00:00:00,Toronto Raptors,88
51,Atlanta Hawks,89,2012-11-08 00:30:00,Indiana Pacers,86
52,Boston Celtics,100,2012-11-08 00:30:00,Washington Wizards,94
53,Charlotte Bobcats,110,2012-11-08 00:00:00,Phoenix Suns,117
54,Dallas Mavericks,109,2012-11-08 00:30:00,Toronto Raptors,104
55,Golden State Warriors,106,2012-11-08 00:30:00,Cleveland Cavaliers,96
56,Houston Rockets,87,2012-11-08 00:00:00,Denver Nuggets,93
57,Los Angeles Clippers,106,2012-11-08 00:30:00,San Antonio Spurs,84
58,Miami Heat,103,2012-11-08 00:30:00,Brooklyn Nets,73
59,Milwaukee Bucks,90,2012-11-08 00:00:00,Memphis Grizzlies,108
60,Minnesota Timberwolves,90,2012-11-08 00:00:00,Orlando Magic,75
