,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,3,2,2014-10-29,7,17,12,Marc,10,8,True,Gasol,2,MIN,1,32,2215.0,2,MEM,0,0,9,3
1,6,0,2014-10-29,1,26,11,Russell,16,15,False,Westbrook,2,POR,3,38,1959.0,3,OKC,2,1,3,2
2,4,1,2014-10-29,11,18,9,Chris,5,5,True,Bosh,4,WAS,1,26,2348.0,1,MIA,4,3,15,3
3,1,1,2014-10-29,5,12,10,Taj,4,2,False,Gibson,3,NYK,1,22,1691.0,1,CHI,0,0,8,0
4,4,0,2014-10-29,2,18,10,Thaddeus,4,4,False,Young,2,MEM,2,26,2046.0,2,MIN,3,2,4,1
5,0,7,2014-10-29,5,8,6,Roy,13,10,True,Hibbert,3,PHI,2,22,1937.0,0,IND,0,0,8,3
6,4,0,2014-10-29,10,12,8,Kenneth,8,6,True,Faried,7,DET,4,22,1661.0,0,DEN,0,0,17,3
7,5,0,2014-10-29,9,17,7,Stephen,9,8,False,Curry,1,SAC,5,24,2192.0,6,GSW,9,2,10,4
8,1,1,2014-10-29,7,16,12,Zach,1,1,True,Randolph,6,MIN,3,25,2077.0,1,MEM,0,0,13,5
9,3,0,2014-10-29,3,25,11,Kobe,7,7,False,Bryant,1,PHO,2,31,1673.0,2,LAL,4,2,4,2
10,2,2,2014-10-29,2,19,10,LaMarcus,8,6,True,Aldridge,1,OKC,0,27,2046.0,1,POR,1,1,3,2
11,9,0,2014-10-29,5,7,5,Eric,3,3,True,Bledsoe,1,LAL,2,16,1568.0,0,PHO,4,3,6,1
12,0,0,2014-10-29,7,11,7,Pau,8,7,False,Gasol,4,NYK,1,21,1750.0,0,CHI,0,0,11,1
13,13,1,2014-10-29,8,17,5,Brandon,10,10,False,Knight,0,CHO,3,22,2327.0,0,MIL,4,2,8,4
