Conference	Eastern	23	15	8	40.2	89.8	10.6	29.5	17.4	24.5	14.4	47.7	21.6	8.8	5.2	13.4	20.2	108.3	36.9	82.4	11.5	31.8	17.1	22.4	8.6	40.7	23.0	7.8	4.5	15.0	21.8	102.5
Western	34	17	17	39.5	86.4	10.1	29.3	15.6	22.3	11.3	42.9	20.6	9.6	4.9	13.5	20.4	104.8	38.2	83.0	10.4	29.5	16.0	21.1	9.8	41.9	22.7	7.5	4.7	15.6	20.2	102.9
Division	Atlantic	8	5	3	40.8	93.3	10.5	30.3	16.0	24.1	15.4	48.5	21.0	8.3	5.4	12.5	22.1	108.0	37.0	81.5	12.0	32.9	19.0	25.1	8.6	42.9	24.0	7.0	4.3	14.6	22.5	105.0
Central	9	7	2	40.8	88.0	11.0	29.8	16.2	22.4	12.9	48.0	24.1	9.2	4.7	13.3	18.8	108.8	34.7	82.7	10.7	32.6	15.3	20.0	9.2	39.6	21.2	8.2	4.3	15.3	20.8	95.3
Northwest	13	5	8	39.8	85.2	9.2	27.6	14.6	19.8	10.5	39.9	20.0	9.8	5.2	13.4	20.8	103.3	38.4	80.7	9.5	27.3	17.3	22.5	9.5	40.8	21.8	7.5	4.7	15.5	18.5	103.5
Pacific	11	7	4	41.4	89.2	10.4	30.4	15.4	22.9	12.5	46.8	20.7	10.5	5.3	13.6	19.5	108.5	38.5	86.1	10.5	30.2	14.4	19.3	10.5	42.6	23.5	7.0	4.5	16.2	20.4	101.8
Southeast	6	3	3	38.5	87.8	10.0	28.0	21.2	28.2	15.5	46.0	18.5	9.0	5.8	14.8	19.7	108.2	40.2	83.3	12.2	29.2	17.3	22.5	7.7	39.5	24.3	8.2	5.0	14.8	22.3	109.8
Southwest	10	5	5	37.2	85.1	10.9	30.4	17.3	24.8	10.9	42.6	21.4	8.3	3.9	13.4	20.7	102.6	37.8	82.5	11.4	31.6	16.1	21.1	9.6	42.5	22.9	8.0	4.9	15.2	22.2	103.1
Opponent	Atlanta	1	1	0	44.0	82.0	13.0	25.0	19.0	31.0	15.0	40.0	24.0	11.0	5.0	19.0	18.0	120.0	44.0	85.0	15.0	32.0	14.0	17.0	7.0	27.0	28.0	12.0	3.0	15.0	24.0	117.0
Boston	1	0	1	35.0	87.0	13.0	35.0	11.0	14.0	11.0	48.0	20.0	4.0	7.0	12.0	18.0	94.0	36.0	84.0	13.0	28.0	16.0	24.0	11.0	49.0	23.0	6.0	2.0	10.0	14.0	101.0
Brooklyn	2	1	1	39.0	96.0	7.0	24.5	17.0	27.5	16.5	52.0	15.0	6.5	3.5	8.0	21.5	102.0	36.0	79.5	13.5	37.5	18.5	27.5	7.5	47.0	25.5	2.0	6.0	12.5	23.0	104.0
Chicago	2	2	0	32.5	80.0	10.5	32.0	21.0	25.5	11.0	50.0	21.5	11.5	5.0	12.0	18.0	96.5	24.0	76.5	10.5	33.0	15.5	20.0	9.0	42.5	16.0	8.0	3.5	16.0	21.5	74.0
Charlotte	2	1	1	37.0	91.0	8.5	26.0	19.5	22.5	15.0	48.0	16.5	6.0	5.5	11.5	20.5	102.0	38.0	82.0	11.0	26.5	16.5	23.5	9.0	45.5	19.0	5.0	5.5	13.0	17.5	103.5
Cleveland	1	1	0	58.0	100.0	14.0	30.0	18.0	28.0	16.0	52.0	37.0	9.0	2.0	13.0	23.0	148.0	46.0	89.0	10.0	37.0	22.0	27.0	3.0	28.0	32.0	7.0	4.0	15.0	18.0	124.0
Dallas	3	1	2	36.0	80.3	12.7	33.0	16.7	22.0	7.3	40.3	21.0	8.7	3.0	14.3	19.7	101.3	40.0	83.7	13.7	35.3	10.3	14.3	9.0	40.0	23.0	8.3	4.7	14.7	18.7	104.0
Denver	3	1	2	42.7	89.7	9.0	27.3	10.0	15.3	11.0	41.3	21.0	9.7	6.0	11.0	18.0	104.3	41.7	88.3	12.0	34.0	12.3	17.0	10.3	44.3	26.7	6.0	6.7	13.3	16.7	107.7
Detroit	2	1	1	43.5	95.5	11.0	32.5	11.5	15.5	13.0	44.0	22.5	11.0	4.0	11.5	16.0	109.5	39.0	84.0	13.0	35.0	12.5	16.5	10.5	43.0	23.0	5.0	4.0	18.0	18.5	103.5
Golden State	2	2	0	42.5	91.5	10.0	28.0	21.5	29.5	11.5	45.0	16.5	14.5	4.5	14.0	24.5	116.5	35.0	78.5	9.0	29.5	19.0	24.5	9.0	42.5	24.5	9.0	8.0	23.5	22.0	98.0
Houston	1	1	0	43.0	79.0	8.0	18.0	18.0	23.0	9.0	40.0	21.0	9.0	10.0	14.0	20.0	112.0	35.0	81.0	12.0	37.0	25.0	31.0	12.0	38.0	23.0	11.0	4.0	13.0	20.0	107.0
Indiana	2	2	0	39.5	88.5	11.5	28.0	16.5	25.0	16.5	50.5	26.0	9.0	7.0	16.5	19.5	107.0	34.0	86.0	10.5	30.0	17.0	20.5	12.5	41.5	15.5	12.0	4.5	16.0	22.0	95.5
