,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
0,24,20,5,71,215,83,Alex,37,32,53,8,Abrines,847,20,95,256,SG,28,OKC,156,58,22,59,25
1,27,44,17,181,277,94,Quincy,56,46,52,8,Acy,1083,36,112,306,PF,27,BRK,216,72,54,61,22
2,24,51,52,208,511,320,Steven,190,110,54,54,Adams,1750,283,159,750,C,66,OKC,2,0,83,509,320
3,20,81,33,180,238,129,Bam,134,99,49,11,Adebayo,1011,80,101,357,C,27,MIA,6,0,46,232,129
4,32,23,7,57,130,49,Arron,22,18,43,2,Afflalo,554,3,48,136,SG,2,ORL,54,20,18,76,29
5,29,1,1,4,9,3,Cole,4,2,13,0,Aldrich,29,3,7,8,C,2,MIN,0,0,1,9,3
6,32,110,65,272,954,478,LaMarcus,273,228,54,54,Aldridge,1829,182,121,1209,C,29,SAS,76,25,83,878,453
7,19,31,41,157,263,154,Jarrett,89,69,50,9,Allen,912,96,96,380,C,22,BRK,9,3,48,254,151
8,25,1,0,2,6,1,Kadeem,4,3,7,0,Allen,27,1,2,5,PG,1,BOS,3,0,3,3,1
9,36,9,3,27,91,44,Tony,21,11,22,0,Allen,273,20,49,103,SF,11,NOP,12,4,19,79,40
10,27,51,29,277,380,154,Al-Farouq,48,36,45,43,Aminu,1348,54,82,429,PF,43,POR,216,85,45,164,69
11,24,15,5,44,133,59,Justin,25,17,26,0,Anderson,365,17,40,157,SF,11,PHI,63,22,9,70,37
12,24,139,42,235,316,163,Kyle,104,79,51,45,Anderson,1397,57,77,416,SF,70,SAS,36,11,73,280,152
13,29,53,18,212,429,186,Ryan,81,64,55,50,Anderson,1530,80,99,554,PF,22,HOU,305,118,41,124,68
