,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
0,Atlanta Hawks,94,2015-10-28 00:00:00,Detroit Pistons,106
1,Chicago Bulls,97,2015-10-28 00:00:00,Cleveland Cavaliers,95
2,Golden State Warriors,111,2015-10-28 02:30:00,New Orleans Pelicans,95
3,Boston Celtics,112,2015-10-28 23:30:00,Philadelphia 76ers,95
4,Brooklyn Nets,100,2015-10-28 23:30:00,Chicago Bulls,115
5,Detroit Pistons,92,2015-10-28 23:30:00,Utah Jazz,87
6,Houston Rockets,85,2015-10-29 00:00:00,Denver Nuggets,105
7,Los Angeles Lakers,111,2015-10-29 02:30:00,Minnesota Timberwolves,112
8,Memphis Grizzlies,76,2015-10-29 00:00:00,Cleveland Cavaliers,106
9,Miami Heat,104,2015-10-28 23:30:00,Charlotte Hornets,94
10,Milwaukee Bucks,97,2015-10-29 00:00:00,New York Knicks,122
11,Oklahoma City Thunder,112,2015-10-29 00:00:00,San Antonio Spurs,106
12,Orlando Magic,87,2015-10-28 23:00:00,Washington Wizards,88
13,Phoenix Suns,95,2015-10-29 02:00:00,Dallas Mavericks,111
14,Portland Trail Blazers,112,2015-10-29 02:00:00,New Orleans Pelicans,94
15,Sacramento Kings,104,2015-10-29 02:00:00,Los Angeles Clippers,111
16,Toronto Raptors,106,2015-10-28 23:30:00,Indiana Pacers,99
17,Indiana Pacers,103,2015-10-29 23:00:00,Memphis Grizzlies,112
18,Los Angeles Clippers,104,2015-10-30 02:30:00,Dallas Mavericks,88
19,New York Knicks,101,2015-10-30 00:00:00,Atlanta Hawks,112
20,Atlanta Hawks,97,2015-10-31 00:00:00,Charlotte Hornets,94
21,Boston Celtics,103,2015-10-30 23:30:00,Toronto Raptors,113
22,Cleveland Cavaliers,102,2015-10-30 23:00:00,Miami Heat,92
23,Denver Nuggets,78,2015-10-31 01:00:00,Minnesota Timberwolves,95
24,Detroit Pistons,98,2015-10-30 23:30:00,Chicago Bulls,94
25,Houston Rockets,92,2015-10-31 01:30:00,Golden State Warriors,112
26,Milwaukee Bucks,113,2015-10-31 00:00:00,Washington Wizards,118
27,Orlando Magic,136,2015-10-30 23:00:00,Oklahoma City Thunder,139
28,Philadelphia 76ers,71,2015-10-30 23:00:00,Utah Jazz,99
29,Phoenix Suns,110,2015-10-31 02:30:00,Portland Trail Blazers,92
30,Sacramento Kings,132,2015-10-31 02:00:00,Los Angeles Lakers,114
31,San Antonio Spurs,102,2015-10-31 00:30:00,Brooklyn Nets,75
32,Indiana Pacers,76,2015-10-31 23:00:00,Utah Jazz,97
33,Los Angeles Clippers,114,2015-11-01 02:30:00,Sacramento Kings,109
34,Memphis Grizzlies,101,2015-11-01 00:00:00,Brooklyn Nets,91
35,New Orleans Pelicans,120,2015-10-31 23:30:00,Golden State Warriors,134
36,Portland Trail Blazers,90,2015-11-01 02:00:00,Phoenix Suns,101
37,Washington Wizards,110,2015-10-31 23:00:00,New York Knicks,117
38,Boston Celtics,87,2015-11-01 20:30:00,San Antonio Spurs,95
39,Chicago Bulls,92,2015-11-02 00:00:00,Orlando Magic,87
40,Charlotte Hornets,92,2015-11-01 19:00:00,Atlanta Hawks,94
41,Los Angeles Lakers,93,2015-11-02 02:30:00,Dallas Mavericks,103
42,Miami Heat,109,2015-11-01 23:00:00,Houston Rockets,89
43,Oklahoma City Thunder,117,2015-11-02 00:00:00,Denver Nuggets,93
44,Toronto Raptors,106,2015-11-01 23:00:00,Milwaukee Bucks,87
45,Brooklyn Nets,96,2015-11-03 00:30:00,Milwaukee Bucks,103
46,Golden State Warriors,119,2015-11-03 03:30:00,Memphis Grizzlies,69
47,Houston Rockets,110,2015-11-03 01:00:00,Oklahoma City Thunder,105
48,Los Angeles Clippers,102,2015-11-03 03:30:00,Phoenix Suns,96
49,Minnesota Timberwolves,101,2015-11-03 01:00:00,Portland Trail Blazers,106
50,New York Knicks,84,2015-11-03 00:30:00,San Antonio Spurs,94
51,Philadelphia 76ers,100,2015-11-03 00:00:00,Cleveland Cavaliers,107
52,Charlotte Hornets,130,2015-11-04 00:00:00,Chicago Bulls,105
53,Dallas Mavericks,91,2015-11-04 01:30:00,Toronto Raptors,102
54,Detroit Pistons,82,2015-11-04 00:30:00,Indiana Pacers,94
55,Los Angeles Lakers,109,2015-11-04 03:30:00,Denver Nuggets,120
56,Miami Heat,92,2015-11-04 00:30:00,Atlanta Hawks,98
57,New Orleans Pelicans,94,2015-11-04 01:00:00,Orlando Magic,103
58,Sacramento Kings,89,2015-11-04 03:00:00,Memphis Grizzlies,103
59,Atlanta Hawks,101,2015-11-05 01:00:00,Brooklyn Nets,87
60,Cleveland Cavaliers,96,2015-11-05 01:00:00,New York Knicks,86
61,Golden State Warriors,112,2015-11-05 03:30:00,Los Angeles Clippers,108
62,Houston Rockets,119,2015-11-05 01:00:00,Orlando Magic,114
63,Indiana Pacers,100,2015-11-05 00:00:00,Boston Celtics,98
64,Milwaukee Bucks,91,2015-11-05 01:00:00,Philadelphia 76ers,87
65,Oklahoma City Thunder,98,2015-11-05 01:00:00,Toronto Raptors,103
66,Phoenix Suns,118,2015-11-05 02:00:00,Sacramento Kings,97
67,Utah Jazz,92,2015-11-05 02:00:00,Portland Trail Blazers,108
68,Washington Wizards,102,2015-11-05 00:00:00,San Antonio Spurs,99
69,Chicago Bulls,104,2015-11-06 01:00:00,Oklahoma City Thunder,98
70,Dallas Mavericks,94,2015-11-06 01:30:00,Charlotte Hornets,108
71,Denver Nuggets,84,2015-11-06 02:00:00,Utah Jazz,96
72,Minnesota Timberwolves,84,2015-11-06 01:00:00,Miami Heat,96
73,Portland Trail Blazers,115,2015-11-06 03:30:00,Memphis Grizzlies,96
74,Boston Celtics,118,2015-11-07 00:30:00,Washington Wizards,98
75,Brooklyn Nets,98,2015-11-07 00:30:00,Los Angeles Lakers,104
76,Cleveland Cavaliers,108,2015-11-07 00:30:00,Philadelphia 76ers,102
77,Golden State Warriors,119,2015-11-07 03:30:00,Denver Nuggets,104
78,Indiana Pacers,90,2015-11-07 01:00:00,Miami Heat,87
79,New Orleans Pelicans,115,2015-11-07 01:00:00,Atlanta Hawks,121
80,New York Knicks,92,2015-11-07 00:30:00,Milwaukee Bucks,99
81,Orlando Magic,92,2015-11-07 00:00:00,Toronto Raptors,87
82,Phoenix Suns,92,2015-11-07 02:30:00,Detroit Pistons,100
83,Sacramento Kings,110,2015-11-07 03:30:00,Houston Rockets,116
84,Atlanta Hawks,114,2015-11-08 00:30:00,Washington Wizards,99
85,Chicago Bulls,93,2015-11-07 23:00:00,Minnesota Timberwolves,102
86,Dallas Mavericks,107,2015-11-08 01:30:00,New Orleans Pelicans,98
87,Los Angeles Clippers,105,2015-11-08 03:30:00,Houston Rockets,109
88,Milwaukee Bucks,94,2015-11-08 01:30:00,Brooklyn Nets,86
89,Philadelphia 76ers,97,2015-11-08 00:00:00,Orlando Magic,105
90,Sacramento Kings,94,2015-11-08 03:00:00,Golden State Warriors,103
91,San Antonio Spurs,114,2015-11-08 01:30:00,Charlotte Hornets,94
92,Utah Jazz,89,2015-11-08 02:00:00,Memphis Grizzlies,79
93,Cleveland Cavaliers,101,2015-11-08 20:30:00,Indiana Pacers,97
94,Miami Heat,96,2015-11-08 23:00:00,Toronto Raptors,76
95,New York Knicks,99,2015-11-08 20:30:00,Los Angeles Lakers,95
96,Oklahoma City Thunder,124,2015-11-09 00:00:00,Phoenix Suns,103
97,Portland Trail Blazers,103,2015-11-09 02:00:00,Detroit Pistons,120
98,Atlanta Hawks,107,2015-11-10 01:00:00,Minnesota Timberwolves,117
99,Denver Nuggets,108,2015-11-10 02:00:00,Portland Trail Blazers,104
100,Golden State Warriors,109,2015-11-10 03:30:00,Detroit Pistons,95
101,Indiana Pacers,97,2015-11-10 00:00:00,Orlando Magic,84
102,Los Angeles Clippers,94,2015-11-10 03:30:00,Memphis Grizzlies,92
103,Philadelphia 76ers,88,2015-11-10 00:00:00,Chicago Bulls,111
104,Sacramento Kings,88,2015-11-10 03:00:00,San Antonio Spurs,106
105,Cleveland Cavaliers,118,2015-11-11 00:00:00,Utah Jazz,114
106,Miami Heat,101,2015-11-11 00:30:00,Los Angeles Lakers,88
107,Milwaukee Bucks,83,2015-11-11 01:00:00,Boston Celtics,99
108,Minnesota Timberwolves,95,2015-11-11 01:00:00,Charlotte Hornets,104
109,New Orleans Pelicans,120,2015-11-11 01:00:00,Dallas Mavericks,105
110,Toronto Raptors,109,2015-11-11 00:30:00,New York Knicks,111
111,Washington Wizards,101,2015-11-11 00:00:00,Oklahoma City Thunder,125
112,Atlanta Hawks,106,2015-11-12 01:00:00,New Orleans Pelicans,98
113,Boston Celtics,91,2015-11-12 00:30:00,Indiana Pacers,102
114,Charlotte Hornets,95,2015-11-12 00:00:00,New York Knicks,93
115,Dallas Mavericks,118,2015-11-12 01:00:00,Los Angeles Clippers,108
