,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,2,9,2014-10-28,8,22,10,Anthony,9,6,True,Davis,9,ORL,1,26,2180.0,3,NOP,0,0,17,0
1,6,0,2014-10-28,1,17,7,James,16,15,False,Harden,0,LAL,1,32,1846.0,1,HOU,6,3,1,0
2,6,0,2014-10-28,3,21,11,Monta,4,3,False,Ellis,1,SAS,0,26,2233.0,1,DAL,2,1,4,3
3,1,4,2014-10-28,18,15,7,Nikola,2,1,False,Vucevic,5,NOP,2,15,2103.0,1,ORL,0,0,23,1
4,3,0,2014-10-28,2,15,9,Tony,2,1,True,Parker,1,DAL,2,23,2090.0,0,SAS,4,4,3,1
5,2,5,2014-10-28,10,10,7,Omer,3,0,True,Asik,7,ORL,4,14,2010.0,0,NOP,0,0,17,3
6,2,0,2014-10-28,4,13,7,Carlos,3,3,True,Boozer,3,HOU,1,17,1655.0,1,LAL,0,0,7,0
7,3,2,2014-10-28,7,16,8,Terrence,1,0,False,Jones,6,LAL,4,16,1831.0,2,HOU,1,0,13,2
8,2,0,2014-10-28,4,11,7,Dirk,4,4,False,Nowitzki,2,SAS,4,18,1900.0,1,DAL,1,0,6,1
9,0,0,2014-10-28,6,18,9,Tobias,6,6,False,Harris,2,NOP,2,25,2192.0,1,ORL,2,1,8,4
10,6,0,2014-10-28,2,13,6,Manu,7,6,True,Ginobili,0,DAL,4,20,1661.0,2,SAS,6,2,2,3
11,5,0,2014-10-28,0,12,6,Devin,4,3,False,Harris,0,SAS,1,17,1747.0,2,DAL,5,2,0,1
12,0,0,2014-10-28,2,22,9,Ryan,3,1,True,Anderson,7,ORL,2,22,1341.0,0,NOP,6,3,9,0
13,2,2,2014-10-28,8,10,5,Tim,5,4,True,Duncan,5,DAL,0,14,1811.0,1,SAS,0,0,13,5
14,3,0,2014-10-28,2,8,5,Marco,2,2,True,Belinelli,0,DAL,1,15,1845.0,1,SAS,6,3,2,2
15,2,0,2014-10-28,2,10,5,Trevor,1,1,False,Ariza,1,LAL,3,16,1774.0,2,HOU,8,5,3,2
16,0,2,2014-10-28,4,7,5,Ed,2,1,True,Davis,2,HOU,6,11,1295.0,1,LAL,0,0,6,0
17,6,0,2014-10-28,7,15,5,Tyreke,5,2,True,Evans,2,ORL,0,12,2080.0,0,NOP,1,0,9,0
18,1,1,2014-10-28,8,5,3,Dwight,16,7,False,Howard,3,LAL,5,13,1234.0,0,HOU,0,0,11,1
19,2,0,2014-10-28,3,17,6,Kobe,8,7,True,Bryant,0,HOU,5,19,1740.0,1,LAL,1,0,3,1
20,3,1,2014-10-28,0,7,3,Jameer,0,0,False,Nelson,0,SAS,1,9,1828.0,1,DAL,5,3,0,0
21,1,0,2014-10-28,2,9,5,Danny,0,0,True,Green,2,DAL,4,13,2042.0,1,SAS,6,3,4,3
22,0,0,2014-10-28,7,8,4,Tyson,0,0,False,Chandler,3,SAS,5,8,1665.0,2,DAL,0,0,10,1
23,0,1,2014-10-28,4,2,2,Brandan,2,2,False,Wright,1,SAS,2,6,1084.0,0,DAL,0,0,5,0
24,2,0,2014-10-28,1,4,3,Cory,0,0,True,Joseph,0,DAL,1,7,1002.0,0,SAS,2,1,1,0
25,5,0,2014-10-28,4,6,2,Patrick,6,3,False,Beverley,1,LAL,3,9,1855.0,0,HOU,3,2,5,2
26,0,1,2014-10-28,1,8,5,Aaron,0,0,False,Gordon,2,NOP,3,11,1707.0,1,ORL,2,1,3,3
27,4,1,2014-10-28,2,11,4,Jrue,0,0,True,Holiday,0,ORL,2,8,1622.0,3,NOP,3,0,2,2
28,3,0,2014-10-28,1,5,2,Austin,6,3,True,Rivers,0,ORL,1,7,1189.0,1,NOP,2,0,1,0
29,2,0,2014-10-28,4,4,1,Jordan,6,5,True,Clarkson,0,HOU,3,8,1222.0,0,LAL,2,1,4,1
30,1,0,2014-10-28,0,5,3,Jason,0,0,False,Terry,0,LAL,0,8,1283.0,0,HOU,3,2,0,1
31,1,1,2014-10-28,6,7,2,Jordan,4,3,True,Hill,4,HOU,3,7,1403.0,0,LAL,0,0,10,2
32,6,0,2014-10-28,8,6,2,Boris,0,0,True,Diaw,1,DAL,2,5,2008.0,0,SAS,3,1,9,4
33,0,2,2014-10-28,4,8,3,Eric,3,1,True,Gordon,0,ORL,1,8,1891.0,2,NOP,2,1,4,3
34,1,0,2014-10-28,1,3,1,Richard,4,3,False,Jefferson,1,SAS,2,6,802.0,0,DAL,2,1,2,1
35,5,3,2014-10-28,2,8,2,Kyle,0,0,False,O'Quinn,0,NOP,4,4,1282.0,1,ORL,1,0,2,1
36,7,0,2014-10-28,2,8,2,Elfrid,0,0,False,Payton,3,NOP,5,4,1846.0,1,ORL,0,0,5,2
37,3,0,2014-10-28,1,7,1,Ronnie,4,4,True,Price,0,HOU,3,7,1616.0,2,LAL,3,1,1,2
38,4,0,2014-10-28,5,6,2,Kostas,0,0,False,Papanikolaou,1,LAL,5,4,1192.0,2,HOU,2,0,6,2
39,6,0,2014-10-28,1,5,1,Jeremy,6,5,True,Lin,1,HOU,3,7,1748.0,0,LAL,1,0,2,4
40,0,0,2014-10-28,0,2,2,Jae,1,1,False,Crowder,0,SAS,1,5,652.0,0,DAL,0,0,0,1
41,0,1,2014-10-28,1,2,1,Dewayne,2,1,False,Dedmon,2,NOP,1,3,494.0,0,ORL,0,0,3,1
42,0,0,2014-10-28,1,2,2,Devyn,2,0,False,Marble,0,NOP,1,4,179.0,0,ORL,0,0,1,0
43,2,0,2014-10-28,2,11,3,Evan,3,3,False,Fournier,1,NOP,2,11,1935.0,0,ORL,4,2,3,4
44,0,0,2014-10-28,3,0,0,Donatas,6,4,False,Motiejunas,2,LAL,3,4,982.0,0,HOU,0,0,5,2
45,0,0,2014-10-28,2,7,3,Wesley,0,0,True,Johnson,0,HOU,5,7,1372.0,0,LAL,3,1,2,0
46,0,0,2014-10-28,0,4,0,Xavier,4,3,True,Henry,1,HOU,1,3,1108.0,1,LAL,0,0,1,0
47,0,1,2014-10-28,4,10,2,Chandler,0,0,False,Parsons,0,SAS,2,5,2029.0,2,DAL,4,1,4,1
48,0,1,2014-10-28,2,3,2,Aron,0,0,True,Baynes,0,DAL,3,4,1069.0,0,SAS,0,0,2,2
49,0,0,2014-10-28,0,1,1,Alexis,0,0,True,Ajinca,0,ORL,0,2,149.0,0,NOP,0,0,0,1
50,0,0,2014-10-28,1,1,0,Isaiah,2,2,False,Canaan,0,LAL,0,2,427.0,0,HOU,1,0,1,1
