,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
83,Houston Rockets,87,2014-11-09 01:00:00,Golden State Warriors,98
84,Indiana Pacers,90,2014-11-09 00:00:00,Washington Wizards,97
85,Los Angeles Clippers,106,2014-11-08 20:30:00,Portland Trail Blazers,102
86,Miami Heat,102,2014-11-09 00:30:00,Minnesota Timberwolves,92
87,Milwaukee Bucks,93,2014-11-09 01:30:00,Memphis Grizzlies,92
88,San Antonio Spurs,99,2014-11-09 01:30:00,New Orleans Pelicans,100
89,Brooklyn Nets,104,2014-11-09 20:30:00,Orlando Magic,96
90,Dallas Mavericks,96,2014-11-10 00:30:00,Miami Heat,105
91,Detroit Pistons,96,2014-11-09 23:00:00,Utah Jazz,97
92,Los Angeles Lakers,107,2014-11-10 02:30:00,Charlotte Hornets,92
93,Oklahoma City Thunder,101,2014-11-10 00:00:00,Sacramento Kings,93
94,Phoenix Suns,107,2014-11-10 01:00:00,Golden State Warriors,95
95,Portland Trail Blazers,116,2014-11-10 02:00:00,Denver Nuggets,100
96,Toronto Raptors,120,2014-11-10 00:00:00,Philadelphia 76ers,88
97,Chicago Bulls,102,2014-11-11 01:00:00,Detroit Pistons,91
98,Cleveland Cavaliers,118,2014-11-11 00:00:00,New Orleans Pelicans,111
99,Indiana Pacers,97,2014-11-11 00:00:00,Utah Jazz,86
100,Los Angeles Clippers,85,2014-11-11 03:30:00,San Antonio Spurs,89
101,New York Knicks,85,2014-11-11 00:30:00,Atlanta Hawks,91
102,Dallas Mavericks,106,2014-11-12 01:30:00,Sacramento Kings,98
103,Golden State Warriors,100,2014-11-12 03:30:00,San Antonio Spurs,113
104,Memphis Grizzlies,107,2014-11-12 01:00:00,Los Angeles Lakers,102
105,Milwaukee Bucks,85,2014-11-12 01:00:00,Oklahoma City Thunder,78
106,Portland Trail Blazers,102,2014-11-12 03:00:00,Charlotte Hornets,100
107,Toronto Raptors,104,2014-11-12 00:30:00,Orlando Magic,100
108,Atlanta Hawks,100,2014-11-13 00:30:00,Utah Jazz,97
109,Boston Celtics,94,2014-11-13 00:30:00,Oklahoma City Thunder,109
110,Denver Nuggets,113,2014-11-13 02:00:00,Portland Trail Blazers,130
111,Miami Heat,75,2014-11-13 00:30:00,Indiana Pacers,81
112,Minnesota Timberwolves,101,2014-11-13 03:00:00,Houston Rockets,113
113,New Orleans Pelicans,109,2014-11-13 01:00:00,Los Angeles Lakers,102
114,New York Knicks,95,2014-11-13 00:30:00,Orlando Magic,97
115,Phoenix Suns,112,2014-11-13 02:00:00,Brooklyn Nets,104
116,Washington Wizards,107,2014-11-13 00:00:00,Detroit Pistons,103
117,Dallas Mavericks,123,2014-11-14 01:30:00,Philadelphia 76ers,70
118,Golden State Warriors,107,2014-11-14 03:30:00,Brooklyn Nets,99
119,Memphis Grizzlies,111,2014-11-14 01:00:00,Sacramento Kings,110
