,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
0,20,43,57,190,185,93,Steven,136,79,81,20,Adams,1197,142,203,265,C,40,OKC,0,0,71,185,93
1,28,248,3,230,1011,464,Arron,336,274,73,73,Afflalo,2552,32,136,1330,SG,35,ORL,300,128,146,711,336
2,25,40,46,183,249,136,Alexis,67,56,56,30,Ajinca,951,94,187,328,C,23,NOP,1,0,63,248,136
3,25,14,30,92,61,33,Cole,30,26,46,2,Aldrich,330,37,40,92,C,8,NYK,0,0,18,61,33
4,28,178,68,599,1423,652,LaMarcus,360,296,69,69,Aldridge,2498,166,147,1603,PF,63,POR,15,3,123,1408,649
5,38,143,8,182,543,240,Ray,116,105,73,9,Allen,1936,23,115,701,SG,54,MIA,309,116,84,234,124
6,32,94,19,129,413,204,Tony,121,76,55,28,Allen,1278,79,121,495,SG,90,MEM,47,11,90,366,193
7,23,114,38,367,494,234,Al-Farouq,137,91,80,65,Aminu,2045,129,147,572,SF,82,NOP,48,13,88,446,221
8,35,19,97,250,275,177,Chris,169,120,72,0,Andersen,1396,129,162,477,C,32,MIA,12,3,53,263,174
9,31,81,11,135,485,194,Alan,118,92,78,26,Anderson,1773,40,147,564,SF,48,BRK,248,84,62,237,110
10,24,149,28,241,717,309,James,106,77,80,62,Anderson,2309,59,154,810,SG,74,PHI,351,115,106,366,194
11,25,17,7,76,354,155,Ryan,62,59,22,14,Anderson,795,66,47,436,PF,10,NOP,164,67,20,190,88
12,19,150,61,261,418,173,Giannis,202,138,77,23,Antetokounmpo,1897,78,173,525,SF,60,MIL,118,41,122,300,132
13,29,242,51,477,1643,743,Carmelo,541,459,77,77,Anthony,2982,145,224,2112,PF,95,NYK,415,167,198,1228,576
14,31,58,12,152,294,123,Pero,66,50,50,26,Antic,925,57,126,352,C,19,ATL,171,56,55,123,67
15,28,191,20,376,853,389,Trevor,193,149,77,77,Ariza,2723,99,179,1107,SF,126,WAS,442,180,132,411,209
16,29,5,4,28,19,9,Hilton,16,7,15,1,Armstrong,97,19,11,25,C,4,GSW,0,0,6,19,9
17,25,61,47,158,410,162,Darrell,62,53,68,1,Arthur,1161,52,185,401,SF,39,DEN,64,24,58,346,138
18,27,25,37,277,190,101,Omer,126,78,48,19,Asik,968,101,92,280,C,14,HOU,0,0,59,190,101
19,28,28,10,83,102,52,Gustavo,20,8,26,14,Ayon,429,42,47,112,C,25,ATL,0,0,29,102,52
20,26,60,25,169,174,101,Jeff,55,38,73,10,Ayres,952,89,146,240,PF,13,SAS,0,0,63,174,101
21,23,3,0,13,30,8,Chris,0,0,14,0,Babb,132,4,13,22,SG,6,BOS,27,6,3,3,2
22,24,29,11,70,154,60,Luke,18,14,27,2,Babbitt,473,18,52,170,PF,7,NOP,95,36,15,59,24
23,31,32,4,32,131,56,Leandro,39,31,20,0,Barbosa,368,5,30,150,PG,7,PHO,25,7,19,106,49
24,29,303,0,138,656,254,J.J.,100,79,79,1,Barea,1471,16,129,660,PG,26,MIN,231,73,125,425,181
25,28,45,52,153,502,222,Andrea,102,84,42,39,Bargnani,1257,69,100,558,C,14,NYK,108,30,58,394,192
26,21,116,20,245,679,271,Harrison,181,130,78,24,Barnes,2204,66,158,738,SF,65,GSW,190,66,84,489,205
27,33,125,28,232,527,231,Matt,90,66,63,40,Barnes,1735,60,185,625,SF,56,LAC,283,97,85,244,134
28,23,33,7,58,156,65,Will,32,26,41,0,Barton,387,16,31,166,SG,9,POR,33,10,18,123,55
29,28,87,71,309,725,352,Brandon,239,205,82,73,Bass,2266,161,190,911,PF,36,BOS,6,2,102,719,350
