,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
51,32,125,9,51,300,121,Aaron,40,32,65,0,Brooks,894,18,93,322,PG,25,IND,128,48,66,172,73
52,32,14,0,6,60,23,Bobby,2,2,25,0,Brown,123,0,5,62,PG,1,HOU,35,14,5,25,9
53,20,64,18,175,423,192,Jaylen,124,85,78,20,Brown,1341,45,142,515,SF,35,BOS,135,46,68,288,146
54,23,47,8,69,141,52,Nicolas,22,17,54,2,Brussino,521,26,43,150,SF,17,DAL,95,29,26,46,23
55,25,29,3,51,128,54,Reggie,7,5,31,5,Bullock,467,13,22,141,SF,18,DET,73,28,10,55,26
56,24,100,5,40,255,116,Trey,29,22,57,0,Burke,703,7,54,285,PG,11,WAS,70,31,48,185,85
57,25,30,5,103,248,99,Alec,78,60,42,0,Burks,653,17,50,283,SG,18,UTA,76,25,35,172,74
58,27,417,32,341,1252,570,Jimmy,676,585,76,75,Butler,2809,129,112,1816,SF,143,CHI,248,91,159,1004,479
59,21,4,1,5,16,6,Bruno,0,0,9,0,Caboclo,40,5,4,14,SF,2,TOR,6,2,2,10,4
60,23,193,12,193,928,370,Kentavious,185,154,76,75,Caldwell-Pope,2529,55,118,1047,SG,89,DET,437,153,86,491,217
61,25,37,1,44,173,63,Isaiah,33,30,39,0,Canaan,592,6,35,181,SG,22,CHI,94,25,21,79,38
62,22,63,79,348,563,362,Clint,177,94,65,59,Capela,1551,178,179,818,C,34,HOU,0,0,87,563,362
63,30,74,27,212,550,220,DeMarre,117,89,72,72,Carroll,1882,63,143,638,SF,81,TOR,320,109,54,230,111
64,40,133,36,191,490,193,Vince,115,88,73,15,Carter,1799,36,163,586,SF,60,MEM,296,112,50,194,81
65,25,113,23,129,306,112,Michael,77,58,45,19,Carter-Williams,846,24,102,297,PG,38,CHI,64,15,66,242,97
66,23,80,44,254,481,255,Willie,151,101,75,21,Cauley-Stein,1421,85,147,611,C,53,SAC,2,0,69,479,255
67,34,30,24,386,228,153,Tyson,124,91,47,46,Chandler,1298,153,126,397,C,33,PHO,0,0,65,228,153
68,29,141,30,357,939,433,Wilson,194,141,71,33,Chandler,2197,103,172,1117,SF,51,DEN,326,110,114,613,323
69,19,60,70,252,632,284,Marquese,181,113,82,75,Chriss,1743,96,263,753,PF,67,PHO,224,72,108,408,212
70,25,4,6,30,43,19,Rakeem,29,21,29,0,Christmas,219,26,37,59,PF,3,IND,0,0,8,43,19
71,24,130,7,68,223,77,Semaj,31,17,64,1,Christon,973,19,79,183,PG,28,OKC,63,12,43,160,65
