,assists,blocks,date,defensive_rebounds,field_goal_attempts,field_goals,first_name,free_throw_attempts,free_throws,is_home,last_name,offensive_rebounds,opponent,personal_fouls,points,seconds_played,steals,team,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers
0,9,2,2017-10-17,15,19,12,LeBron,4,4,True,James,1,BOS,3,29,2472.0,0,CLE,5,1,16,4
1,10,0,2017-10-17,2,17,8,Kyrie,2,2,False,Irving,2,CLE,4,22,2361.0,3,BOS,9,4,4,2
2,11,0,2017-10-17,5,23,10,James,4,3,False,Harden,1,GSW,2,27,2184.0,1,HOU,9,4,6,3
3,0,0,2017-10-17,1,9,8,Nick,1,1,True,Young,1,HOU,4,23,1570.0,0,GSW,7,6,2,1
4,1,2,2017-10-17,1,16,9,Eric,8,6,False,Gordon,0,GSW,1,24,1763.0,1,HOU,6,0,1,2
5,0,0,2017-10-17,5,9,6,P.J.,6,4,False,Tucker,1,GSW,3,20,1720.0,1,HOU,6,4,6,1
6,13,0,2017-10-17,10,6,2,Draymond,4,4,True,Green,1,HOU,3,9,1659.0,0,GSW,2,1,11,2
7,3,2,2017-10-17,6,14,6,Klay,0,0,True,Thompson,0,HOU,0,16,2289.0,2,GSW,7,4,6,1
8,4,0,2017-10-17,5,18,8,Stephen,3,3,True,Curry,0,HOU,4,22,1773.0,1,GSW,9,3,5,2
9,0,0,2017-10-17,5,23,11,Jaylen,2,1,False,Brown,1,CLE,5,25,2376.0,2,BOS,9,2,6,3
10,7,4,2017-10-17,4,15,7,Kevin,5,4,True,Durant,1,HOU,4,20,2258.0,0,GSW,5,2,5,8
11,2,0,2017-10-17,3,6,2,Terry,4,4,False,Rozier,0,CLE,0,9,1172.0,4,BOS,3,1,3,0
12,3,0,2017-10-17,6,12,5,Jayson,3,3,False,Tatum,4,CLE,4,14,2192.0,0,BOS,2,1,10,1
13,0,0,2017-10-17,8,9,4,Kevin,7,6,True,Love,3,BOS,2,15,1704.0,0,CLE,4,1,11,2
14,1,1,2017-10-17,5,12,5,Ryan,0,0,False,Anderson,3,GSW,3,13,1997.0,1,HOU,8,3,8,0
15,0,0,2017-10-17,2,9,6,Luc,0,0,False,Mbah,2,GSW,1,14,1403.0,0,HOU,3,2,4,2
16,5,1,2017-10-17,7,7,2,Al,7,5,False,Horford,0,CLE,2,9,1927.0,0,BOS,2,0,7,0
17,5,0,2017-10-17,5,9,3,Trevor,0,0,False,Ariza,1,GSW,2,8,2259.0,2,HOU,5,2,6,1
18,2,0,2017-10-17,4,10,3,Jae,4,4,True,Crowder,1,BOS,2,11,2084.0,2,CLE,5,1,5,1
19,10,1,2017-10-17,7,9,2,Chris,0,0,False,Paul,1,GSW,4,4,1984.0,2,HOU,4,0,8,1
20,0,1,2017-10-17,3,10,6,Clint,1,0,False,Capela,1,GSW,0,12,1090.0,1,HOU,0,0,4,2
21,3,2,2017-10-17,9,16,5,Marcus,3,2,False,Smart,0,CLE,2,12,2103.0,2,BOS,4,0,9,2
22,1,0,2017-10-17,4,7,4,J.R.,1,1,True,Smith,0,BOS,4,10,1315.0,0,CLE,3,1,4,0
23,0,1,2017-10-17,3,2,2,Zaza,2,2,True,Pachulia,0,HOU,1,6,614.0,0,GSW,0,0,3,0
24,1,1,2017-10-17,2,3,2,Patrick,0,0,True,McCaw,1,HOU,1,4,1119.0,1,GSW,0,0,3,0
25,2,0,2017-10-17,3,14,5,Derrick,4,3,True,Rose,1,BOS,2,14,1875.0,0,CLE,3,1,4,2
26,5,0,2017-10-17,0,5,2,Shaun,2,2,True,Livingston,1,HOU,2,6,1113.0,0,GSW,0,0,1,1
27,1,0,2017-10-17,1,5,4,Jordan,0,0,True,Bell,0,HOU,4,8,706.0,0,GSW,0,0,1,1
28,1,1,2017-10-17,3,2,2,Aron,4,2,False,Baynes,2,CLE,5,6,1146.0,0,BOS,0,0,5,2
29,2,0,2017-10-17,5,3,2,Tristan,3,1,True,Thompson,1,BOS,3,5,1176.0,0,CLE,0,0,6,2
30,0,1,2017-10-17,0,3,2,David,0,0,True,West,1,HOU,0,4,565.0,0,GSW,0,0,1,1
31,0,0,2017-10-17,1,3,2,Iman,0,0,True,Shumpert,1,BOS,3,4,771.0,1,CLE,0,0,2,1
32,0,0,2017-10-17,1,0,0,Omri,2,2,True,Casspi,0,HOU,0,2,268.0,0,GSW,0,0,1,0
33,3,2,2017-10-17,1,10,3,Dwyane,2,2,True,Wade,1,BOS,1,8,1710.0,0,CLE,1,0,2,4
34,0,0,2017-10-17,2,0,0,Kevon,2,1,True,Looney,0,HOU,2,1,466.0,1,GSW,0,0,2,0
35,0,0,2017-10-17,1,2,1,Gordon,0,0,False,Hayward,0,CLE,1,2,315.0,0,BOS,1,0,1,0
36,0,0,2017-10-17,1,1,0,Shane,0,0,False,Larkin,0,CLE,0,0,289.0,0,BOS,1,0,1,0
37,0,0,2017-10-17,0,8,3,Jeff,0,0,True,Green,0,BOS,3,6,854.0,0,CLE,1,0,0,1
38,0,0,2017-10-17,0,0,0,Kyle,0,0,True,Korver,0,BOS,2,0,439.0,0,CLE,0,0,0,0
39,0,0,2017-10-17,0,2,0,Semi,0,0,False,Ojeleye,0,CLE,1,0,519.0,0,BOS,1,0,0,0
40,3,0,2017-10-18,12,22,13,Giannis,13,11,False,Antetokounmpo,1,BOS,4,37,2216.0,3,MIL,1,0,13,5
41,1,1,2017-10-18,17,17,11,Hassan,3,3,False,Whiteside,5,ORL,1,26,2174.0,0,MIA,1,1,22,1
42,1,1,2017-10-18,12,12,10,Clint,2,2,False,Capela,5,SAC,2,22,1700.0,3,HOU,0,0,17,2
43,5,3,2017-10-18,2,20,10,Damian,3,3,False,Lillard,3,PHO,1,27,1779.0,1,POR,6,4,5,0
44,11,0,2017-10-18,2,12,9,Darren,3,2,True,Collison,1,BRK,1,21,1811.0,2,IND,3,1,3,2
45,3,0,2017-10-18,5,15,9,Mike,7,5,True,Conley,0,NOP,3,27,1961.0,2,MEM,9,4,5,1
46,9,0,2017-10-18,1,21,8,James,8,7,False,Harden,2,SAC,1,27,2266.0,2,HOU,14,4,3,2
47,3,0,2017-10-18,8,18,11,Tobias,1,1,True,Harris,2,CHO,3,27,2043.0,0,DET,7,4,10,1
48,2,4,2017-10-18,11,13,8,Myles,4,4,True,Turner,3,BRK,3,21,2037.0,0,IND,3,1,14,1
49,5,0,2017-10-18,2,22,12,D'Angelo,2,2,False,Russell,1,IND,4,30,1828.0,1,BRK,8,4,3,2
50,1,2,2017-10-18,5,15,9,Robert,4,4,False,Covington,2,WAS,4,29,1748.0,1,PHI,11,7,7,5
51,0,1,2017-10-18,11,23,9,Anthony,17,14,False,Davis,7,MEM,5,33,2414.0,0,NOP,2,1,18,5
52,2,7,2017-10-18,8,21,9,DeMarcus,8,7,False,Cousins,2,MEM,4,28,2304.0,0,NOP,9,3,10,4
53,0,3,2017-10-18,9,6,6,Nerlens,4,4,True,Noel,2,ATL,2,16,1174.0,1,DAL,0,0,11,0
54,4,1,2017-10-18,4,17,6,Bradley,16,12,True,Beal,2,PHI,2,25,2137.0,3,WAS,4,1,6,2
55,1,3,2017-10-18,6,15,10,Willie,2,1,True,Cauley-Stein,4,HOU,1,21,1898.0,0,SAC,0,0,10,1
56,7,0,2017-10-18,2,26,13,Dennis,2,1,False,Schroder,0,DAL,1,28,2057.0,2,ATL,3,1,2,2
57,1,2,2017-10-18,10,12,6,Nikola,8,7,True,Vucevic,2,MIA,1,19,1897.0,2,ORL,3,0,12,1
58,1,0,2017-10-18,4,14,9,Andrew,9,4,False,Wiggins,1,SAS,0,26,1825.0,0,MIN,6,4,5,1
59,4,2,2017-10-18,5,21,9,LaMarcus,7,6,True,Aldridge,5,MIN,2,25,2329.0,0,SAS,2,1,10,3
60,4,0,2017-10-18,5,12,6,Victor,10,8,True,Oladipo,0,BRK,5,22,1473.0,4,IND,6,2,5,3
61,8,2,2017-10-18,3,28,10,John,9,8,True,Wall,2,PHI,2,28,2229.0,0,WAS,3,0,5,2
62,5,1,2017-10-18,7,14,7,Ben,6,4,False,Simmons,3,WAS,3,18,2080.0,2,PHI,0,0,10,1
63,2,2,2017-10-18,3,13,7,Dillon,7,5,True,Brooks,2,NOP,2,19,1765.0,4,MEM,2,0,5,2
64,3,0,2017-10-18,3,14,7,Marco,2,2,False,Belinelli,0,DAL,0,20,1542.0,3,ATL,6,4,3,1
65,0,0,2017-10-18,4,10,7,Trevor,7,6,False,Booker,6,IND,2,20,1674.0,0,BRK,1,0,10,2
66,2,0,2017-10-18,2,14,9,Pat,2,2,False,Connaughton,0,PHO,2,24,1924.0,0,POR,7,4,2,1
67,2,1,2017-10-18,5,14,8,Will,4,4,False,Barton,1,UTA,2,23,1880.0,1,DEN,4,3,6,3
68,1,3,2017-10-18,12,12,7,Marcin,3,2,True,Gortat,5,PHI,3,16,2066.0,0,WAS,0,0,17,1
69,3,0,2017-10-18,1,17,9,Evan,2,2,True,Fournier,0,MIA,0,23,2065.0,1,ORL,5,3,1,1
70,4,0,2017-10-18,5,13,6,Kemba,13,11,False,Walker,1,DET,1,24,2126.0,0,CHO,3,1,6,4
71,3,2,2017-10-18,6,16,7,Thaddeus,2,2,True,Young,5,BRK,3,17,2000.0,2,IND,5,1,11,2
72,2,1,2017-10-18,3,8,7,Dejounte,2,2,True,Murray,2,MIN,4,16,1524.0,2,SAS,0,0,5,2
73,8,0,2017-10-18,4,10,5,Reggie,3,3,True,Jackson,1,CHO,2,13,1630.0,1,DET,1,0,5,0
74,6,0,2017-10-18,7,12,6,Terry,0,0,True,Rozier,0,MIL,4,15,1608.0,2,BOS,5,3,7,0
75,1,0,2017-10-18,3,7,7,Domantas,3,2,True,Sabonis,4,BRK,3,16,1153.0,0,IND,0,0,7,1
76,2,2,2017-10-18,6,10,5,Kelly,3,1,True,Oubre,2,PHI,2,14,1949.0,2,WAS,6,3,8,0
77,1,1,2017-10-18,11,15,8,Karl-Anthony,2,2,False,Towns,2,SAS,4,18,2070.0,2,MIN,1,0,13,2
78,6,0,2017-10-18,5,6,4,Joe,0,0,True,Ingles,0,DEN,3,11,1958.0,2,UTA,5,3,5,0
79,4,0,2017-10-18,6,11,5,Terrence,2,2,True,Ross,0,MIA,0,15,1872.0,2,ORL,7,3,6,1
80,4,0,2017-10-18,1,10,6,Malcolm,4,4,False,Brogdon,0,BOS,2,19,2486.0,0,MIL,5,3,1,2
81,10,0,2017-10-18,1,12,6,Dennis,4,3,True,Smith,2,ATL,2,16,1794.0,0,DAL,4,1,3,3
82,3,0,2017-10-18,4,7,5,Gary,1,1,False,Harris,1,UTA,2,14,2146.0,1,DEN,3,3,5,1
83,6,0,2017-10-18,2,19,6,Goran,4,4,False,Dragic,3,ORL,0,17,1837.0,1,MIA,4,1,5,0
84,3,0,2017-10-18,4,11,6,Jaylen,5,4,True,Brown,1,MIL,6,18,1689.0,0,BOS,3,2,5,0
85,0,0,2017-10-18,4,11,6,Langston,1,1,True,Galloway,0,CHO,0,16,1481.0,3,DET,6,3,4,1
86,4,2,2017-10-18,5,11,6,Al,1,1,True,Horford,1,MIL,3,13,2007.0,3,BOS,2,0,6,2
87,2,0,2017-10-18,4,4,3,Rondae,8,8,False,Hollis-Jefferson,0,IND,3,14,1654.0,1,BRK,0,0,4,1
88,5,0,2017-10-18,3,7,4,J.J.,2,2,True,Barea,0,ATL,1,13,1086.0,0,DAL,5,3,3,0
89,1,0,2017-10-18,2,10,6,John,3,2,False,Collins,3,DAL,1,14,1344.0,2,ATL,0,0,5,1
90,4,2,2017-10-18,8,9,3,Andre,2,2,True,Drummond,5,CHO,3,8,1341.0,1,DET,0,0,13,0
91,2,0,2017-10-18,4,9,5,Rudy,4,4,True,Gay,1,MIN,3,14,1422.0,1,SAS,1,0,5,0
92,0,0,2017-10-18,1,10,7,Alec,0,0,True,Burks,0,DEN,1,16,922.0,1,UTA,2,2,1,0
93,6,1,2017-10-18,2,6,3,Jeff,5,4,False,Teague,0,SAS,1,11,1494.0,1,MIN,2,1,2,1
94,3,1,2017-10-18,12,15,7,Joel,4,4,False,Embiid,1,WAS,2,18,1617.0,0,PHI,4,0,13,4
95,1,1,2017-10-18,7,9,7,Rudy,4,4,True,Gobert,3,DEN,4,18,2101.0,0,UTA,0,0,10,6
96,9,1,2017-10-18,3,12,6,Elfrid,2,0,True,Payton,0,MIA,2,13,1903.0,3,ORL,1,1,3,4
97,1,1,2017-10-18,7,5,3,Allen,5,4,False,Crabbe,0,IND,2,12,1607.0,2,BRK,3,2,7,2
98,4,0,2017-10-18,4,17,8,Buddy,0,0,True,Hield,1,HOU,5,19,1969.0,1,SAC,7,3,5,2
99,2,2,2017-10-18,4,16,7,Danny,0,0,True,Green,0,MIN,2,17,1962.0,2,SAS,7,3,4,2
100,3,0,2017-10-18,3,23,7,Eric,8,7,False,Gordon,1,SAC,2,25,2089.0,0,HOU,13,4,4,3
101,1,1,2017-10-18,9,9,5,Kyle,2,1,True,Anderson,0,MIN,1,12,1781.0,0,SAS,1,1,9,0
102,4,1,2017-10-18,2,10,4,Cory,2,2,True,Joseph,1,BRK,1,11,1480.0,2,IND,2,1,3,1
103,5,1,2017-10-18,2,5,3,Jamal,4,4,False,Crawford,1,SAS,1,10,1445.0,0,MIN,1,0,3,2
104,3,0,2017-10-18,3,6,4,Shabazz,0,0,False,Napier,0,PHO,2,10,1362.0,2,POR,2,2,3,1
105,10,0,2017-10-18,5,9,3,Ricky,3,2,True,Rubio,0,DEN,1,9,1906.0,2,UTA,5,1,5,3
106,0,1,2017-10-18,1,7,5,Brandan,2,0,True,Wright,3,NOP,2,10,1605.0,2,MEM,0,0,4,0
