,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
0,24,68,22,222,331,152,Quincy,97,76,68,22,Acy,1287,79,147,398,PF,27,NYK,60,18,60,271,134
1,20,16,7,19,86,35,Jordan,23,14,30,0,Adams,248,9,24,94,SG,16,MEM,25,10,14,61,25
2,21,66,86,324,399,217,Steven,205,103,70,67,Adams,1771,199,222,537,C,38,OKC,2,0,99,397,217
3,28,15,9,54,44,19,Jeff,38,22,17,0,Adrien,215,23,30,60,PF,4,MIN,0,0,9,44,19
4,26,47,51,211,329,181,Alexis,99,81,68,8,Ajinca,957,104,151,443,C,21,NOP,0,0,69,329,181
5,23,28,16,98,78,40,Furkan,27,13,41,9,Aldemir,540,78,96,93,PF,17,PHI,5,0,17,73,40
6,26,75,65,237,301,144,Cole,64,50,61,16,Aldrich,976,101,122,338,C,37,NYK,0,0,59,301,144
7,29,124,68,549,1415,659,LaMarcus,362,306,71,71,Aldridge,2512,177,125,1661,PF,48,POR,105,37,122,1310,622
8,25,73,42,200,299,141,Lavoy,47,33,63,0,Allen,1070,123,102,315,C,15,IND,0,0,40,299,141
9,33,86,30,177,455,225,Tony,126,79,63,41,Allen,1648,103,166,539,SG,129,MEM,29,10,86,426,215
10,24,59,62,228,357,147,Al-Farouq,118,84,74,3,Aminu,1366,114,137,412,SF,70,DAL,124,34,55,233,113
11,36,43,61,223,207,120,Chris,114,76,60,20,Andersen,1132,76,88,320,C,26,MIA,13,4,40,194,116
12,32,83,5,173,440,195,Alan,101,82,74,19,Anderson,1744,31,148,545,SG,56,BRK,210,73,60,230,122
13,21,28,7,67,89,31,Kyle,14,9,33,8,Anderson,358,5,28,74,SF,15,SAS,11,3,10,78,28
14,26,55,20,187,729,291,Ryan,151,129,61,5,Anderson,1675,108,113,833,PF,33,NOP,359,122,62,370,169
15,20,207,85,442,780,383,Giannis,347,257,81,71,Antetokounmpo,2541,100,254,1030,SG,73,MIL,44,7,173,736,376
16,30,122,17,192,806,358,Carmelo,237,189,40,40,Anthony,1428,72,87,966,SF,40,NYK,179,61,89,627,297
17,32,5,49,61,62,36,Joel,22,15,49,0,Anthony,406,32,55,87,C,12,DET,0,0,12,62,36
18,32,49,14,131,296,108,Pero,123,88,63,3,Antic,1037,58,132,356,C,18,ATL,173,52,49,123,56
19,29,209,17,382,910,366,Trevor,143,122,82,82,Ariza,2930,77,186,1048,SF,152,HOU,555,194,141,355,172
20,26,57,26,118,384,155,Darrell,59,46,58,4,Arthur,988,53,146,382,PF,48,DEN,110,26,47,274,129
21,28,72,54,504,412,213,Omer,225,131,76,76,Asik,1982,244,144,557,C,29,NOP,0,0,95,412,213
22,27,14,8,80,95,55,Jeff,36,27,51,0,Ayres,383,37,60,137,PF,8,SAS,0,0,26,95,55
23,25,24,11,99,192,92,Luke,19,13,63,19,Babbitt,830,12,63,256,SF,17,NOP,115,59,26,77,33
24,24,1,1,2,14,3,Cameron,5,4,18,1,Bairstow,64,6,8,10,PF,2,CHI,0,0,3,14,3
25,32,99,8,68,386,183,Leandro,74,58,66,1,Barbosa,982,23,87,467,SG,41,GSW,112,43,44,274,140
26,30,263,1,111,536,225,J.J.,94,76,77,10,Barea,1362,23,104,580,PG,33,DAL,167,54,70,369,171
27,29,46,27,95,361,164,Andrea,107,87,29,22,Bargnani,785,32,53,430,C,2,NYK,41,15,42,320,149
28,22,116,19,336,656,316,Harrison,150,108,82,82,Barnes,2318,117,146,827,SF,61,GSW,215,87,71,441,229
29,34,114,50,251,624,277,Matt,95,74,76,74,Barnes,2271,51,240,764,SF,67,LAC,376,136,87,248,141
30,33,5,2,14,39,12,Earl,12,6,16,1,Barron,143,14,26,32,C,4,PHO,4,2,5,35,10
31,29,104,32,259,683,344,Brandon,214,169,82,43,Bass,1929,139,140,866,PF,41,BOS,32,9,83,651,335
32,26,341,40,354,600,240,Nicolas,98,84,71,71,Batum,2380,62,106,664,SF,78,POR,309,100,132,291,140
33,26,233,12,189,516,220,Jerryd,137,121,77,4,Bayless,1717,22,163,598,PG,59,MIL,120,37,133,396,183
34,28,35,22,209,327,185,Aron,104,90,70,17,Baynes,1122,109,162,461,C,16,SAS,4,1,65,323,184
35,25,78,33,201,331,141,Kent,100,60,75,10,Bazemore,1324,21,127,390,SG,52,ATL,132,48,73,199,93
36,21,194,18,184,851,363,Bradley,166,130,63,59,Beal,2107,57,136,962,SG,76,WAS,259,106,123,592,257
37,26,32,13,77,212,92,Michael,26,20,24,1,Beasley,505,12,66,212,PF,15,MIA,34,8,37,178,84
